City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mataura,NZ,58.48,broken clouds,-46.1927,168.8643,Ellie's Villa
3,Bethel,US,67.17,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
5,Dargaville,NZ,58.95,overcast clouds,-35.9333,173.8833,Parkview Motel
6,Komsomolskiy,UZ,50.27,scattered clouds,40.4272,71.7189,Ikathouse
7,Cape Town,ZA,65.08,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
8,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
9,Saint-Philippe,RE,69.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
10,Busselton,AU,53.04,overcast clouds,-33.65,115.3333,Observatory Guest House
11,Maumere,ID,78.49,broken clouds,-8.6199,122.2111,Sylvia Hotel
13,Mulege,MX,89.08,clear sky,26.8833,-111.9833,Casa Granada
14,Mar Del Plata,AR,50.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Arica,CL,69.35,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
17,Balao,EC,76.57,broken clouds,-2.9167,-79.8167,Gilson Stalin Lucas S
18,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
19,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
20,Atar,MR,93.61,overcast clouds,20.5169,-13.0499,Oumou Elghoura
21,Rio Gallegos,AR,55.45,light rain,-51.6226,-69.2181,Hotel Santa Cruz
22,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Macae,BR,73.15,overcast clouds,-22.3708,-41.7869,Personal Hotel
24,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Atuona,PF,78.55,few clouds,-9.8,-139.0333,Villa Enata
27,Kulhudhuffushi,MV,81.81,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
29,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
32,Bluff,NZ,58.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Castro,BR,66.2,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
35,Beocin,RS,57.29,light rain,45.2083,19.7206,Hostel B1 Beocin
38,Kavieng,PG,80.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
39,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
41,Horsham,GB,55.49,clear sky,51.064,-0.3272,Springfields Hotel
44,Nova Granada,BR,89.85,broken clouds,-20.5339,-49.3142,Casa do maikão
45,Rikitea,PF,74.1,overcast clouds,-23.1203,-134.9692,People ThankYou
46,Kannod,IN,77.25,broken clouds,22.6667,76.7333,Puspendra Sardiya Kannod
52,Hilo,US,86.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
53,Turayf,SA,64.65,clear sky,31.6725,38.6637,Turaif
54,Kasungu,MW,71.04,clear sky,-13.0333,33.4833,Mame Motel
55,Svetlyy,RU,53.65,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
56,Lata,PT,65.8,clear sky,40.1629,-8.3327,Casa Maquia
59,Thompson,CA,55.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
60,Puerto Ayora,EC,67.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Bay Roberts,CA,58.03,scattered clouds,47.5999,-53.2648,Stonewall Inn
62,Alta Floresta,BR,84.02,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
64,San Carlos De Bariloche,AR,56.95,clear sky,-41.1456,-71.3082,Hotel Patagonia
65,Kavaratti,IN,81.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
66,Lebu,CL,55.02,clear sky,-37.6167,-73.65,Hostal Las Lilas
67,Piombino,IT,62.44,scattered clouds,42.9348,10.5221,Hotel Ariston
68,Ribeira Grande,PT,71.85,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
69,New Norfolk,AU,51.3,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
71,Jamestown,US,75.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
72,Sinnamary,GF,80.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
74,Port Alfred,ZA,64.44,few clouds,-33.5906,26.891,The Halyards Hotel
75,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
76,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Gisborne,NZ,62.94,moderate rain,-38.6533,178.0042,ASURE Alfresco Motor Lodge
83,Tahta,EG,73.65,clear sky,26.7693,31.5021,مصطفي عساف
85,Carnarvon,AU,57.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
86,Kruisfontein,ZA,59.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
88,Colares,PT,71.33,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
89,Saint George,US,80.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
90,Faanui,PF,78.69,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Yulara,AU,58.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
92,Bandarbeyla,SO,79.57,overcast clouds,9.4942,50.8122,JABIR HOTEL
93,Manthani,IN,76.21,broken clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
94,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
95,Port Elizabeth,ZA,62.1,few clouds,-33.918,25.5701,39 On Nile Guest House
97,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Namibe,AO,62.04,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
103,Port Macquarie,AU,62.82,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
104,Bredasdorp,ZA,60.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
105,Hlotse,LS,58.64,clear sky,-28.8718,28.045,Naleli Guest House
107,Ancud,CL,53.13,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
109,Sunrise Manor,US,86.23,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
110,Ahipara,NZ,58.66,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
112,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
113,Richards Bay,ZA,65.03,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
115,Acarigua,VE,74.91,overcast clouds,9.5545,-69.1956,Edificio La Corteza
116,Pemangkat,ID,78.21,overcast clouds,1.1667,108.9667,Ramah Kost KITA
118,Bonthe,SL,79.27,broken clouds,7.5264,-12.505,Bonthe Holiday Village
119,Inhambane,MZ,71.28,broken clouds,-23.865,35.3833,Oceano
121,Ondjiva,AO,78.01,overcast clouds,-17.0667,15.7333,COMBUESA
122,Hienghene,NC,77.56,clear sky,-20.6833,164.9333,Ka Waboana Lodge
124,Tura,IN,72.55,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
125,Rawson,AR,57.79,clear sky,-43.3002,-65.1023,Hosteria Sampedro
126,Sechura,PE,72.72,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
127,Quatre Cocos,MU,71.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
130,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
132,Nouadhibou,MR,73.38,overcast clouds,20.931,-17.0347,El Medina
133,Victoria,HK,85.32,clear sky,22.2855,114.1577,Mini Hotel Central
134,Souillac,MU,71.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
136,Nikolskoye,RU,50.88,clear sky,59.7035,30.7861,Tourist House - Sablino
137,Tevaitoa,PF,78.51,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
139,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
141,Mayo,US,72.48,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
142,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
143,Cabo San Lucas,MX,95.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
144,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
145,Tocopilla,CL,65.59,broken clouds,-22.092,-70.1979,Hotel Galvarino
146,Jieshi,CN,80.29,clear sky,22.8134,115.8257,Yuehai Hotel
147,San Patricio,US,90.32,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
148,Zdzieszowice,PL,54.9,overcast clouds,50.4248,18.1235,Ośrodek Wypoczynkowy Rueda
149,Enshi,CN,68.2,overcast clouds,30.3,109.4833,Moevenpick Enshi
155,Chuy,UY,51.4,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
157,Poum,NC,74.1,clear sky,-20.2333,164.0167,Gîte kajeon
158,Fuengirola,ES,72.09,clear sky,36.54,-4.6247,Hotel Las Palmeras
