City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Birao,CF,10.2849,22.7882,76.12,57,46,3.29,scattered clouds
1,Beloha,MG,-25.1667,45.05,61.21,68,0,5.61,clear sky
2,Mataura,NZ,-46.1927,168.8643,58.48,57,66,3.27,broken clouds
3,Bethel,US,41.3712,-73.414,67.17,86,90,3.44,overcast clouds
4,Ustynivka,UA,47.9551,32.5367,41.45,36,0,12.17,clear sky
5,Dargaville,NZ,-35.9333,173.8833,58.95,96,100,5.44,overcast clouds
6,Komsomolskiy,UZ,40.4272,71.7189,50.27,77,35,1.9,scattered clouds
7,Cape Town,ZA,-33.9258,18.4232,65.08,55,0,1.99,clear sky
8,Natal,BR,-5.795,-35.2094,80.82,78,20,13.8,few clouds
9,Saint-Philippe,RE,-21.3585,55.7679,69.35,83,35,3.65,light rain
10,Busselton,AU,-33.65,115.3333,53.04,77,100,6.4,overcast clouds
11,Maumere,ID,-8.6199,122.2111,78.49,82,64,6.55,broken clouds
12,Talnakh,RU,69.4865,88.3972,35.04,100,100,5.66,light rain
13,Mulege,MX,26.8833,-111.9833,89.08,37,10,8.52,clear sky
14,Mar Del Plata,AR,-38.0023,-57.5575,50.09,64,40,11.99,light rain
15,Punta Arenas,CL,-53.15,-70.9167,46.51,76,75,26.46,light intensity shower rain
16,Arica,CL,-18.475,-70.3042,69.35,77,0,6.91,clear sky
17,Balao,EC,-2.9167,-79.8167,76.57,74,59,7.25,broken clouds
18,Hasaki,JP,35.7333,140.8333,66.6,71,100,10.38,overcast clouds
19,Georgetown,MY,5.4112,100.3354,78.73,94,40,1.99,scattered clouds
20,Atar,MR,20.5169,-13.0499,93.61,11,99,5.86,overcast clouds
21,Rio Gallegos,AR,-51.6226,-69.2181,55.45,41,40,20.71,light rain
22,Kapaa,US,22.0752,-159.319,84.52,72,20,4.0,few clouds
23,Macae,BR,-22.3708,-41.7869,73.15,83,90,9.22,overcast clouds
24,Vaini,TO,-21.2,-175.2,78.96,89,75,11.5,broken clouds
25,Atuona,PF,-9.8,-139.0333,78.55,78,17,21.39,few clouds
26,Yellowknife,CA,62.456,-114.3525,41.41,89,90,3.0,overcast clouds
27,Kulhudhuffushi,MV,6.6221,73.07,81.81,80,100,15.32,overcast clouds
28,Kondinskoye,RU,59.6481,67.41,37.24,91,69,9.1,broken clouds
29,Hermanus,ZA,-34.4187,19.2345,61.81,86,4,14.99,clear sky
30,Inta,RU,66.0317,60.1659,43.81,90,100,18.77,overcast clouds
31,Dikson,RU,73.5069,80.5464,31.05,79,100,9.19,overcast clouds
32,Bluff,NZ,-46.6,168.3333,58.8,79,84,6.06,broken clouds
33,Upernavik,GL,72.7868,-56.1549,31.71,54,100,4.18,overcast clouds
34,Castro,BR,-24.7911,-50.0119,66.2,91,97,1.92,overcast clouds
35,Beocin,RS,45.2083,19.7206,57.29,67,100,20.0,light rain
36,Geraldton,AU,-28.7667,114.6,39.61,93,0,5.75,clear sky
37,Provideniya,RU,64.3833,-173.3,39.31,87,90,6.71,overcast clouds
38,Kavieng,PG,-2.5744,150.7967,80.78,73,100,2.62,overcast clouds
